,version,month,sentiment_score,month_name
5469,27,9,0,September
5611,27,9,0.4,September
5586,27,9,1,September
5616,27,9,0,September
5630,27,9,0.9,September
5642,27,9,0.2,September
8729,27,9,1,September
5619,27,9,0.75,September
8759,27,9,0.8,September
8762,27,9,0.5,September
8749,27,9,0.5,September
8788,27,9,0.45,September
5566,27,9,0,September
5569,27,9,0.6,September
8766,27,9,0.2,September
5565,27,9,0,September
9885,27,9,0,September
9891,27,9,1,September
9892,27,9,0,September
9893,27,9,0.7,September
9895,27,9,0.2,September
9896,27,9,-0.65,September
9897,27,9,-0.071428571,September
9898,27,9,0.5,September
9900,27,9,0.35,September
9890,27,9,0.5,September
9902,27,9,0.65,September
9904,27,9,0.5,September
9909,27,9,0.5,September
9901,27,9,0.45,September
9910,27,9,0.2,September
4057,27,9,0.4,September
3600,27,9,-0.5,September
3599,27,9,-0.375,September
9868,27,9,0,September
9869,27,9,0,September
9870,27,9,0,September
9876,27,9,0.4,September
9878,27,9,0,September
9879,27,9,0.4,September
9871,27,9,0,September
5533,27,9,0.573409091,September
9881,27,9,0,September
9882,27,9,0.2,September
9912,27,9,1,September
3597,27,9,0.85,September
3587,27,9,0,September
3585,27,9,0.2,September
9948,27,9,-1,September
9951,27,9,0.7,September
9952,27,9,0,September
3613,27,9,1,September
9954,27,9,0.7,September
9957,27,9,0,September
9963,27,9,0.78,September
9930,27,9,0,September
9965,27,9,0,September
9958,27,9,0.5,September
9941,27,9,0,September
9939,27,9,0,September
9918,27,9,0.166666667,September
9964,27,9,0,September
9919,27,9,0.6,September
9921,27,9,0.5,September
9924,27,9,0.25,September
9925,27,9,0.5,September
9927,27,9,0,September
9928,27,9,0,September
9966,27,9,0,September
9932,27,9,0.7,September
5827,27,9,0.5,September
9936,27,9,0,September
9913,27,9,0,September
5454,27,9,0.6,September
3617,27,9,0.15,September
9737,27,9,0,September
9852,27,9,0.7,September
3827,27,9,0.466666667,September
9734,27,9,0.5,September
3812,27,9,1,September
9933,27,9,0,September
3796,27,9,0,September
3795,27,9,0.5,September
3793,27,9,0.85,September
3787,27,9,0.65,September
8613,27,9,0.8,September
9701,27,9,1,September
4054,27,9,0.13,September
9968,27,9,1,September
9718,27,9,1,September
3646,27,9,0.5,September
9853,27,9,0,September
3780,27,9,0.6,September
3767,27,9,0.4,September
3667,27,9,0.15,September
3665,27,9,0.1,September
3664,27,9,0.4,September
9823,27,9,1,September
3644,27,9,0.7,September
9836,27,9,0,September
3632,27,9,0.3725,September
3629,27,9,0.1,September
3628,27,9,0.333333333,September
3642,27,9,0.7,September
8570,27,9,1,September
3752,27,9,-0.15,September
3624,27,9,0.433333333,September
3744,27,9,0.4,September
9851,27,9,0,September
3720,27,9,0.5,September
4706,27,9,0.7,September
3700,27,9,0.65,September
3709,27,9,0.3,September
3693,27,9,0.39,September
3681,27,9,0.533333333,September
3674,27,9,0.85,September
5451,27,9,0.5,September
4425,27,9,0,September
9107,27,9,0.2,September
4709,27,9,0,September
4702,27,9,0.516666667,September
4699,27,9,0.75,September
4698,27,9,0.5,September
4707,27,9,0.6,September
4691,27,9,0.7,September
4690,27,9,0,September
4701,27,9,0.91,September
4696,27,9,0.5,September
4753,27,9,0.166666667,September
4737,27,9,-0.2,September
5386,27,9,0.7,September
4750,27,9,0.371428571,September
4729,27,9,0.516666667,September
4726,27,9,0.65,September
9093,27,9,-0.071428571,September
4714,27,9,0.433333333,September
8876,27,9,0.16,September
4727,27,9,0.389285714,September
4689,27,9,0.4,September
4644,27,9,0.7,September
4659,27,9,0.3,September
4657,27,9,0.4,September
4656,27,9,0,September
5403,27,9,0.155,September
4653,27,9,0.516666667,September
4686,27,9,0,September
5407,27,9,0,September
4651,27,9,0.7,September
9177,27,9,1,September
4665,27,9,0.5,September
4664,27,9,0.433333333,September
4684,27,9,0.6,September
4682,27,9,0,September
5400,27,9,0.2,September
4679,27,9,0.1875,September
4669,27,9,-0.2,September
4663,27,9,1,September
9135,27,9,0.5,September
9139,27,9,0.5,September
4675,27,9,1,September
9141,27,9,0.5,September
4673,27,9,0.2,September
4672,27,9,0.2,September
4671,27,9,0.6,September
9136,27,9,0,September
4662,27,9,-0.3,September
4650,27,9,0.5,September
4773,27,9,0,September
8969,27,9,0.5,September
8971,27,9,0.6,September
5332,27,9,0.366666667,September
5335,27,9,0.166666667,September
5338,27,9,0.6,September
5214,27,9,0.626666667,September
5228,27,9,-0.75,September
5227,27,9,0.5,September
3788,27,9,0,September
8990,27,9,0.91,September
5194,27,9,1,September
5240,27,9,0,September
5244,27,9,0.5,September
5319,27,9,0.25,September
5296,27,9,0.52,September
5293,27,9,0.5,September
8942,27,9,0.7,September
5290,27,9,0.5,September
8944,27,9,0,September
5287,27,9,0,September
5286,27,9,0.7,September
5284,27,9,1,September
5275,27,9,0,September
5103,27,9,0.516666667,September
5261,27,9,0.5375,September
8959,27,9,0,September
8890,27,9,0,September
5299,27,9,-0.05,September
5186,27,9,0,September
8899,27,9,0.5,September
9039,27,9,0.455,September
5370,27,9,0.5,September
5107,27,9,0.5,September
4498,27,9,0.2,September
5102,27,9,0.056666667,September
4792,27,9,0,September
8892,27,9,0.7,September
4784,27,9,0,September
8891,27,9,0.78,September
5159,27,9,0.5,September
9030,27,9,0.5,September
5347,27,9,0.7,September
5170,27,9,0,September
5166,27,9,0,September
5357,27,9,0.8,September
9011,27,9,0.5,September
5156,27,9,0.91,September
5152,27,9,0.15625,September
9020,27,9,0,September
5147,27,9,0.55,September
5146,27,9,0.8,September
9024,27,9,0.5,September
9970,27,9,0,September
4641,27,9,0.65,September
9182,27,9,0.6,September
4504,27,9,-0.15,September
4501,27,9,0.8,September
4500,27,9,0.433333333,September
4499,27,9,0.6,September
4497,27,9,1,September
4492,27,9,0.4,September
4491,27,9,-0.39,September
4483,27,9,0.318181818,September
4490,27,9,0.695,September
5434,27,9,1,September
4495,27,9,1,September
4494,27,9,0.366666667,September
4508,27,9,0,September
4536,27,9,0.716666667,September
4486,27,9,0.3,September
4531,27,9,0.1875,September
4505,27,9,0.316666667,September
11982,27,9,0.2,September
4524,27,9,0.91,September
4523,27,9,0.15,September
4522,27,9,0.7,September
4528,27,9,0.441071429,September
